full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,131837,131837,21355,51,51,6,https://github.com/anthropics/claude-code
claude-code-best/claude-code,19858,19858,16155,11,11,1,https://github.com/claude-code-best/claude-code
jarmuine/claude-code,2199,2199,5915,1,1,0,https://github.com/jarmuine/claude-code
yasasbanukaofficial/claude-code,3490,3490,4708,2,2,-1,https://github.com/yasasbanukaofficial/claude-code
shareAI-lab/learn-claude-code,66131,66131,10770,40,40,5,https://github.com/shareAI-lab/learn-claude-code
codeaashu/claude-code,2875,2875,3454,1,1,1,https://github.com/codeaashu/claude-code
ChinaSiro/claude-code-sourcemap,9381,9381,14691,1,1,2,https://github.com/ChinaSiro/claude-code-sourcemap
tanbiralam/claude-code,1847,1847,2607,1,1,0,https://github.com/tanbiralam/claude-code
pengchengneo/Claude-Code,1508,1508,2439,2,2,0,https://github.com/pengchengneo/Claude-Code
Alishahryar1/free-claude-code,33908,33908,5191,70,70,10,https://github.com/Alishahryar1/free-claude-code
RishabhK103/claude-code,89,89,7250,0,0,0,https://github.com/RishabhK103/claude-code
hesreallyhim/awesome-claude-code,46221,46221,4026,12,12,1,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,57463,57463,5768,21,21,3,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,34898,34898,2868,4,4,2,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,27973,27973,2901,16,16,4,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,878,878,1206,0,0,0,https://github.com/LING71671/Open-ClaudeCode
Onewon/claude-code,182,182,2265,0,0,0,https://github.com/Onewon/claude-code
Donchitos/Claude-Code-Game-Studios,21435,21435,3114,14,14,1,https://github.com/Donchitos/Claude-Code-Game-Studios
oboard/claude-code-rev,3207,3207,3823,0,0,0,https://github.com/oboard/claude-code-rev
VoltAgent/awesome-claude-code-subagents,21629,21629,2528,10,10,1,https://github.com/VoltAgent/awesome-claude-code-subagents
ponponon/claude_code_src,2279,2279,3525,1,1,1,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,7965,7965,1893,4,4,1,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,10959,10959,1916,8,8,4,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3096,3096,1803,5,5,3,https://github.com/liuup/claude-code-analysis
T-Lab-CUHKSZ/claude-code,317,317,612,0,0,0,https://github.com/T-Lab-CUHKSZ/claude-code
diet103/claude-code-infrastructure-showcase,9699,9699,1220,-1,-1,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9301,9301,705,2,2,0,https://github.com/frankbria/ralph-claude-code
pedrohcgs/claude-code-my-workflow,1253,1253,2539,2,2,3,https://github.com/pedrohcgs/claude-code-my-workflow
ykdojo/claude-code-tips,8688,8688,660,2,2,1,https://github.com/ykdojo/claude-code-tips
hangsman/claude-code-source,784,784,1757,0,0,0,https://github.com/hangsman/claude-code-source
