full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,134903,134903,21776,64,64,11,https://github.com/anthropics/claude-code
claude-code-best/claude-code,20532,20532,16296,27,27,4,https://github.com/claude-code-best/claude-code
jarmuine/claude-code,2228,2228,5930,0,0,1,https://github.com/jarmuine/claude-code
yasasbanukaofficial/claude-code,3612,3612,4753,1,1,1,https://github.com/yasasbanukaofficial/claude-code
shareAI-lab/learn-claude-code,68939,68939,11227,108,108,18,https://github.com/shareAI-lab/learn-claude-code
codeaashu/claude-code,3029,3029,3548,6,6,1,https://github.com/codeaashu/claude-code
ChinaSiro/claude-code-sourcemap,9484,9484,14694,4,4,-5,https://github.com/ChinaSiro/claude-code-sourcemap
tanbiralam/claude-code,1959,1959,2659,4,4,0,https://github.com/tanbiralam/claude-code
pengchengneo/Claude-Code,1577,1577,2498,2,2,1,https://github.com/pengchengneo/Claude-Code
Alishahryar1/free-claude-code,37571,37571,5902,66,66,14,https://github.com/Alishahryar1/free-claude-code
RishabhK103/claude-code,98,98,7236,0,0,0,https://github.com/RishabhK103/claude-code
shanraisshan/claude-code-best-practice,61512,61512,6153,65,65,7,https://github.com/shanraisshan/claude-code-best-practice
hesreallyhim/awesome-claude-code,47561,47561,4153,25,25,2,https://github.com/hesreallyhim/awesome-claude-code
musistudio/claude-code-router,35414,35414,2919,9,9,5,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,28352,28352,2958,5,5,0,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,902,902,1213,0,0,0,https://github.com/LING71671/Open-ClaudeCode
Onewon/claude-code,182,182,2251,0,0,0,https://github.com/Onewon/claude-code
Donchitos/Claude-Code-Game-Studios,22429,22429,3242,22,22,-1,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,22547,22547,2625,21,21,2,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3235,3235,3830,1,1,1,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2307,2307,3531,0,0,-1,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,8169,8169,1935,3,3,1,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,11460,11460,1970,10,10,0,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3345,3345,1891,10,10,3,https://github.com/liuup/claude-code-analysis
T-Lab-CUHKSZ/claude-code,321,321,612,0,0,0,https://github.com/T-Lab-CUHKSZ/claude-code
diet103/claude-code-infrastructure-showcase,9723,9723,1216,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9485,9485,724,2,2,0,https://github.com/frankbria/ralph-claude-code
pedrohcgs/claude-code-my-workflow,1324,1324,2652,0,0,3,https://github.com/pedrohcgs/claude-code-my-workflow
ykdojo/claude-code-tips,8957,8957,687,2,2,0,https://github.com/ykdojo/claude-code-tips
chauncygu/collection-claude-code-source-code,2694,2694,2411,5,5,1,https://github.com/chauncygu/collection-claude-code-source-code
hangsman/claude-code-source,787,787,1759,0,0,1,https://github.com/hangsman/claude-code-source
lintsinghua/claude-code-book,3803,3803,787,7,7,0,https://github.com/lintsinghua/claude-code-book
ChrisWiles/claude-code-showcase,5979,5979,563,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
huangserva/claude-code-cli,614,614,1306,2,2,1,https://github.com/huangserva/claude-code-cli
wanshuiyin/Auto-claude-code-research-in-sleep,12773,12773,1163,19,19,0,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
OneRedOak/claude-code-workflows,3843,3843,566,0,0,0,https://github.com/OneRedOak/claude-code-workflows
FlorianBruniaux/claude-code-ultimate-guide,5244,5244,690,4,4,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
alex000kim/claude-code,228,228,332,0,0,0,https://github.com/alex000kim/claude-code
nicedreamzapp/claude-code-local,2882,2882,555,2,2,0,https://github.com/nicedreamzapp/claude-code-local
xorespesp/claude-code,228,228,316,0,0,0,https://github.com/xorespesp/claude-code
1rgs/claude-code-proxy,3660,3660,475,0,0,0,https://github.com/1rgs/claude-code-proxy
zebbern/claude-code-guide,4346,4346,441,4,4,0,https://github.com/zebbern/claude-code-guide
VineeTagarwaL-code/claude-code,276,276,270,0,0,0,https://github.com/VineeTagarwaL-code/claude-code
anthropics/claude-code-security-review,5406,5406,569,5,5,1,https://github.com/anthropics/claude-code-security-review
lorryjovens-hub/claude-code-rust,1652,1652,639,0,0,0,https://github.com/lorryjovens-hub/claude-code-rust
affaan-m/ECC,223253,223253,34179,159,159,14,https://github.com/affaan-m/ECC
zstmfhy/Claude-code,190,190,286,0,0,0,https://github.com/zstmfhy/Claude-code
disler/claude-code-hooks-mastery,3794,3794,623,2,2,0,https://github.com/disler/claude-code-hooks-mastery
777genius/claude-code-source-code,916,916,1100,0,0,2,https://github.com/777genius/claude-code-source-code
Maciek-roboblog/Claude-Code-Usage-Monitor,8294,8294,429,6,6,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
rohitg00/awesome-claude-code-toolkit,2205,2205,741,2,2,1,https://github.com/rohitg00/awesome-claude-code-toolkit
Windy3f3f3f3f/how-claude-code-works,2751,2751,623,0,0,1,https://github.com/Windy3f3f3f3f/how-claude-code-works
freestylefly/claude-code,127,127,306,0,0,0,https://github.com/freestylefly/claude-code
Tinkeringg-Lab/claude-code,209,209,241,0,0,0,https://github.com/Tinkeringg-Lab/claude-code
alejandrobalderas/claude-code-from-source,2343,2343,672,16,16,1,https://github.com/alejandrobalderas/claude-code-from-source
RichardAtCT/claude-code-telegram,2717,2717,404,0,0,0,https://github.com/RichardAtCT/claude-code-telegram
fuergaosi233/claude-code-proxy,2701,2701,400,2,2,0,https://github.com/fuergaosi233/claude-code-proxy
ding113/claude-code-hub,3182,3182,360,1,1,1,https://github.com/ding113/claude-code-hub
kodu-ai/claude-coder,5257,5257,198,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2392,2392,406,2,2,0,https://github.com/Yuyz0112/claude-code-reverse
fazxes/Claude-code,222,222,216,0,0,0,https://github.com/fazxes/Claude-code
isboyjc/claude-code,159,159,219,0,0,0,https://github.com/isboyjc/claude-code
Cranot/claude-code-guide,2827,2827,317,1,1,0,https://github.com/Cranot/claude-code-guide
mehmoodosman/claude-code,168,168,216,0,0,0,https://github.com/mehmoodosman/claude-code
SeemSeam/claude_codex_bridge,3127,3127,306,6,6,0,https://github.com/SeemSeam/claude_codex_bridge
anthropics/skills,156471,156471,18437,172,172,15,https://github.com/anthropics/skills
multica-ai/andrej-karpathy-skills,184342,184342,18896,290,290,43,https://github.com/multica-ai/andrej-karpathy-skills
luyao618/Claude-Code-Source-Study,1577,1577,548,1,1,1,https://github.com/luyao618/Claude-Code-Source-Study
Chachamaru127/claude-code-harness,2894,2894,277,3,3,0,https://github.com/Chachamaru127/claude-code-harness
https-deeplearning-ai/sc-claude-code-files,535,535,792,1,1,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
repowise-dev/claude-code-prompts,1116,1116,381,1,1,0,https://github.com/repowise-dev/claude-code-prompts
